magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,magtype,depth,location
7.8,9.0,7.0,1.0,1111.0,0.0,0.621,60.0,mww,28.0,"Perryville, Alaska"
7.0,6.0,7.0,1.0,820.0,0.0,1.671,18.0,mww,73.0,"Popondetta, Papua New Guinea"
6.6,4.0,2.0,0.0,684.0,0.0,1.458,14.0,mww,113.5,"Batang, Indonesia"
7.4,8.0,8.0,1.0,1149.125,0.0,0.151,30.0,mww,20.0,"Santa María Xadani, Mexico"
7.4,7.0,7.0,1.0,873.0,0.0,3.873125,23.0,mww,10.0,the Kermadec Islands
6.6,5.0,4.0,1.0,734.0,0.0,2.015,18.0,mww,113.5,"Naze, Japan"
6.8,6.0,6.0,1.0,835.0,0.0,1.164,21.0,mww,112.0,"San Pedro de Atacama, Chile"
6.5,7.0,8.0,0.0,1149.125,27.0,0.357,55.79,ml,2.7,"Monte Cristo Range, NV Earthquake"
6.6,4.0,6.0,1.0,671.0,0.0,3.403,12.0,mww,107.0,"Lata, Solomon Islands"
6.8,4.0,6.0,0.0,738.0,0.0,1.921,16.0,mww,96.0,Banda Sea
6.5,7.0,6.0,0.0,678.0,0.0,1.293,19.0,mww,10.0,"Néa Anatolí, Greece"
6.5,8.0,8.0,0.0,1149.125,0.0,0.885,31.0,mww,12.06,"Stanley, Idaho"
7.5,6.0,5.0,1.0,879.0,0.0,3.873125,12.0,mww,57.8,"Severo-Kuril’sk, Russia"
7.0,5.0,6.0,1.0,770.0,0.0,3.873125,25.0,mww,113.5,"Kuril’sk, Russia"
7.7,9.0,6.0,1.0,1149.125,0.0,1.657,26.0,mww,14.86,"Lucea, Jamaica"
6.7,8.0,9.0,0.0,1149.125,0.0,0.87,49.0,mww,10.0,"Do?anyol, Turkey"
6.8,9.0,7.0,1.0,825.0,0.0,0.546,39.0,mww,18.0,"Magsaysay, Philippines"
7.1,6.0,6.0,1.0,799.0,0.0,1.271,11.0,mww,33.0,"Bitung, Indonesia"
6.5,0.0,2.0,0.0,650.0,0.0,3.873125,25.0,mww,113.5,"Ndoi Island, Fiji"
6.6,4.0,4.0,1.0,673.0,0.0,3.873125,48.0,mww,10.0,"Neiafu, Tonga"
6.5,9.0,7.0,1.0,733.0,0.0,0.428,19.0,mww,10.0,"Kisante, Philippines"
6.6,9.0,7.0,1.0,780.0,0.0,0.646,24.0,mww,15.0,"Columbio, Philippines"
6.7,7.0,6.0,1.0,844.0,0.0,1.269,67.5,mww,11.0,"Constitución, Chile"
6.5,7.0,7.0,1.0,656.0,0.0,3.873125,15.0,mww,12.26,"Kairatu, Indonesia"
6.6,2.0,3.0,1.0,671.0,0.0,3.873125,19.0,mww,113.5,"Ndoi Island, Fiji"
6.6,0.0,4.0,1.0,670.0,0.0,3.873125,19.0,mww,16.0,"Bristol Island, South Sandwich Islands"
6.9,4.0,6.0,0.0,875.0,0.0,2.839,23.0,mww,49.0,"Labuan, Indonesia"
6.8,6.0,6.0,1.0,947.0,0.0,0.817,35.0,mww,25.0,"San Antonio, Chile"
6.6,0.0,4.0,1.0,670.0,0.0,3.873125,30.0,mww,113.5,"Lakatoro, Vanuatu"
7.2,7.0,7.0,1.0,809.0,0.0,1.504,38.0,mww,18.98,"Laiwui, Indonesia"
6.6,5.0,5.0,0.0,791.0,0.0,2.978,32.0,mww,10.0,"Broome, Australia"
6.9,7.0,5.0,0.0,747.0,0.0,1.205,21.0,mww,35.0,"Kota Ternate, Indonesia"
7.1,9.0,9.0,0.0,1149.125,77.0,0.04616,43.0,mw,8.0,"Searles Valley, CA"
7.3,4.0,6.0,1.0,952.0,0.0,2.629,16.0,mww,113.5,"Saumlaki, Indonesia"
7.3,8.0,6.0,1.0,830.0,0.0,1.402,11.0,mww,46.0,"L'Esperance Rock, New Zealand"
6.6,7.0,6.0,1.0,886.0,0.0,1.193,22.0,mww,57.92,"La Libertad, El Salvador"
7.85,9.0,8.0,1.0,1149.125,0.0,3.18,17.0,mww,113.5,"Navarro, Peru"
7.6,7.0,7.0,1.0,929.0,0.0,0.453,16.0,mww,10.0,"Namatanai, Papua New Guinea"
7.1,7.0,6.0,1.0,826.0,0.0,2.514,16.0,mww,113.5,"Bulolo, Papua New Guinea"
6.8,5.0,6.0,1.0,717.0,0.0,0.791,28.0,mww,15.46,"Luwuk, Indonesia"
6.5,0.0,5.0,1.0,650.0,0.0,3.873125,18.0,mww,38.0,"Bristol Island, South Sandwich Islands"
7.0,7.0,4.0,1.0,869.0,0.0,2.501,42.0,mww,113.5,"Azángaro, Peru"
7.5,7.0,7.0,1.0,1145.0,0.0,2.045,15.0,mww,113.5,"Palora, Ecuador"
6.7,6.0,6.0,1.0,909.0,0.0,0.289,43.0,mww,66.0,"Puerto Madero, Mexico"
6.7,0.0,3.0,0.0,691.0,0.0,3.873125,17.0,mww,13.0,Prince Edward Islands region
6.7,8.0,8.0,1.0,1149.125,0.0,0.173,22.0,mww,63.0,"Coquimbo, Chile"
6.6,5.0,4.0,1.0,671.0,0.0,3.873125,18.0,mww,35.0,"Sola, Vanuatu"
6.6,2.0,4.0,1.0,672.0,0.0,1.596,33.0,mww,43.21,Molucca Sea
6.8,3.0,3.0,0.0,715.0,0.0,1.181,16.0,mww,113.5,"Tarauaca, Brazil"
7.0,5.0,5.0,1.0,803.0,0.0,1.769,21.0,mww,60.21,"Pondaguitan, Philippines"
7.3,3.0,7.0,1.0,822.0,0.0,3.873125,23.0,mww,16.56,"Ust’-Kamchatsk Staryy, Russia"
7.1,0.0,5.0,1.0,776.0,0.0,3.873125,20.0,mww,113.5,South Sandwich Islands region
6.6,0.0,4.0,1.0,670.0,0.0,2.679,31.0,mww,10.0,"Tadine, New Caledonia"
7.5,3.0,6.0,1.0,871.0,0.0,2.405,18.0,mww,10.0,"Tadine, New Caledonia"
7.1,8.0,8.0,1.0,1149.125,0.0,0.0,0.0,mw,46.7,"Point MacKenzie, Alaska"
6.8,0.0,3.0,1.0,711.0,0.0,2.879,39.0,mww,113.5,"Levuka, Fiji"
6.7,3.0,4.0,1.0,693.0,0.0,3.873125,19.0,mww,10.0,"Olonkinbyen, Svalbard and Jan Mayen"
6.8,8.0,7.0,0.0,954.0,0.0,2.268,15.0,mww,14.0,"Lithakiá, Greece"
6.5,2.0,4.0,0.0,655.0,0.0,1.692,67.5,mww,10.0,"Port McNeill, Canada"
6.8,4.0,4.0,1.0,776.0,0.0,1.505,36.0,mww,10.0,"Port McNeill, Canada"
6.5,3.0,4.0,1.0,669.0,0.0,1.611,63.0,mww,10.0,"Port McNeill, Canada"
6.5,0.0,4.0,1.0,650.0,0.0,2.109,22.0,mww,17.0,"Tadine, New Caledonia"
6.7,0.0,3.0,1.0,691.0,0.0,2.705,17.0,mww,113.5,"Ozernovskiy, Russia"
6.5,0.0,4.0,1.0,650.0,0.0,3.873125,14.0,mww,20.0,"Severo-Kuril’sk, Russia"
7.0,6.0,6.0,1.0,758.0,0.0,1.778,18.0,mww,39.0,"Kimbe, Papua New Guinea"
6.7,2.0,3.0,1.0,691.0,0.0,3.745,23.0,mww,113.5,"Levuka, Fiji"
7.5,8.0,8.0,0.0,1149.125,0.0,1.649,13.0,mww,20.0,"Palu, Indonesia"
6.5,4.0,2.0,0.0,651.0,0.0,3.873125,18.0,mww,113.5,the Fiji Islands
6.9,3.0,4.0,0.0,735.0,0.0,2.785,18.0,mww,113.5,Kermadec Islands region
6.5,3.0,6.0,1.0,651.0,0.0,1.638,25.0,mww,68.0,"Kirakira, Solomon Islands"
7.85,7.0,4.0,1.0,979.0,0.0,1.431,12.0,mww,113.5,"Levuka, Fiji"
6.6,8.0,9.0,1.0,1075.0,0.0,1.13,32.0,mww,35.0,"Chitose, Japan"
7.1,2.0,5.0,1.0,776.0,0.0,2.548,23.0,mww,21.43,"Tadine, New Caledonia"
7.1,0.0,3.0,0.0,776.0,0.0,3.77,12.0,mww,113.5,"Iñapari, Peru"
6.5,6.0,7.0,1.0,652.0,0.0,3.873125,10.0,mww,9.0,"Lakatoro, Vanuatu"
7.3,8.0,6.0,1.0,1149.125,0.0,1.822,15.0,mww,113.5,"Carúpano, Venezuela"
6.9,7.0,7.0,0.0,1149.125,0.0,2.453,31.0,mww,21.0,"Labuan Lombok, Indonesia"
7.85,5.0,4.0,1.0,1050.0,0.0,3.63,13.0,mww,113.5,"Levuka, Fiji"
6.5,5.0,3.0,0.0,743.0,0.0,2.719,23.0,mww,113.5,"Labuan Bajo, Indonesia"
6.5,6.0,6.0,1.0,655.0,0.0,0.576,22.0,mww,33.93,"Adak, Alaska"
6.9,9.0,8.0,0.0,1149.125,0.0,2.271,15.0,mww,34.0,"Labuan Lombok, Indonesia"
6.9,7.0,8.0,1.0,1149.125,63.0,0.11,67.5,mw,5.81,"Leilani Estates, Hawaii"
6.8,5.0,3.0,0.0,733.0,0.0,3.873125,16.0,mww,113.5,"Boyuibe, Bolivia"
6.9,9.0,6.0,1.0,741.0,0.0,1.487,18.0,mww,35.0,"Kimbe, Papua New Guinea"
6.7,5.0,6.0,1.0,696.0,0.0,1.507,15.0,mww,40.0,"Kimbe, Papua New Guinea"
6.8,6.0,6.0,1.0,719.0,0.0,1.049,16.0,mww,22.86,"Kokopo, Papua New Guinea"
6.7,8.0,7.0,1.0,697.0,0.0,3.873125,19.0,mww,20.49,"Tari, Papua New Guinea"
7.5,9.0,8.0,1.0,943.0,0.0,3.873125,17.0,mww,25.21,"Tari, Papua New Guinea"
7.2,7.0,7.0,1.0,1149.125,0.0,0.142,67.5,mww,22.0,"Pinotepa de Don Luis, Mexico"
7.85,9.0,4.0,1.0,1149.125,0.0,2.585,30.0,mww,14.06,"Chiniak, Alaska"
7.1,9.0,7.0,1.0,1075.0,0.0,3.873125,23.0,mww,39.0,"Atiquipa, Peru"
7.5,8.0,5.0,1.0,1149.125,0.0,3.873125,12.0,mww,19.0,"Barra Patuca, Honduras"
6.5,8.0,7.0,0.0,998.0,0.0,2.365,28.0,mww,90.0,"Kawalu, Indonesia"
6.5,1.0,5.0,1.0,651.0,0.0,3.873125,23.0,mww,17.0,Bouvet Island region
7.0,4.0,6.0,1.0,771.0,0.0,0.617,14.0,mww,10.0,"Tadine, New Caledonia"
6.6,4.0,5.0,1.0,676.0,0.0,0.529,21.0,mww,13.0,"Tadine, New Caledonia"
6.5,8.0,8.0,1.0,1149.125,0.0,0.225,37.0,mww,19.36,"Parrita, Costa Rica"
7.3,8.0,9.0,0.0,1149.125,0.0,0.284,33.0,mww,19.0,"?alabja, Iraq"
6.5,6.0,5.0,1.0,661.0,0.0,3.873125,10.0,mww,110.57,"Angoram, Papua New Guinea"
6.8,5.0,5.0,1.0,727.0,0.0,3.873125,21.0,mww,10.0,"Hihifo, Tonga"
6.6,3.0,5.0,1.0,674.0,0.0,0.788,29.0,mww,22.0,"Tadine, New Caledonia"
6.7,3.0,4.0,1.0,691.0,0.0,1.062,55.0,mww,24.0,"Tadine, New Caledonia"
6.7,3.0,3.0,0.0,694.0,0.0,1.634,16.0,mww,113.5,"Maumere, Indonesia"
6.5,3.0,5.0,1.0,651.0,0.0,1.154,11.0,mww,113.5,"Attu Station, Alaska"
7.1,9.0,8.0,0.0,1149.125,0.0,0.984,23.0,mww,48.0,"Matzaco, Mexico"
7.85,9.0,7.0,1.0,1149.125,0.0,0.944,22.0,mww,47.39,"Chiapas, Mexico"
6.5,5.0,7.0,0.0,707.0,0.0,3.873125,22.0,mww,9.0,"Mawu, China"
6.6,7.0,7.0,0.0,1064.0,0.0,0.913,16.0,mww,7.0,"Kos, Greece"
7.7,8.0,7.0,1.0,918.0,0.0,3.564,13.0,mww,10.0,"Komandorskiye Ostrova, Russia region"
6.6,5.0,4.0,1.0,704.0,0.0,3.773,37.0,mww,10.0,"Auckland Islands, New Zealand region"
6.5,9.0,8.0,1.0,740.0,0.0,3.873125,30.0,mww,9.0,"Lim-oo, Philippines"
6.8,6.0,6.0,1.0,1034.0,0.0,1.065,38.0,mww,38.12,"Puerto San José, Guatemala"
6.9,8.0,6.0,1.0,1149.125,0.0,0.247,35.0,mww,93.0,"San Pablo, Guatemala"
6.8,0.0,4.0,1.0,711.0,0.0,2.308,12.0,mww,5.0,"Attu Station, Alaska"
6.6,7.0,7.0,0.0,678.0,0.0,2.353,18.0,mww,12.0,"Poso, Indonesia"
6.5,0.0,4.0,1.0,650.0,0.0,3.873125,17.0,mww,15.0,South Sandwich Islands region
6.8,6.0,5.0,1.0,713.0,0.0,3.873125,19.0,mww,113.5,"Port-Olry, Vanuatu"
6.9,9.0,6.0,1.0,814.0,0.0,1.636,14.0,mww,26.0,"Burias, Philippines"
6.9,9.0,7.0,1.0,1149.125,0.0,0.356,39.0,mww,28.0,"Valparaíso, Chile"
6.5,7.0,8.0,0.0,1149.125,0.0,2.36,15.0,mww,29.0,"Moijabana, Botswana"
6.6,6.0,7.0,1.0,671.0,0.0,3.873125,14.0,mww,17.0,"Ust’-Kamchatsk Staryy, Russia"
6.9,2.0,3.0,1.0,733.0,0.0,3.873125,19.0,mww,113.5,the Fiji Islands
6.5,3.0,3.0,0.0,653.0,0.0,3.873125,14.0,mww,113.5,"Padilla, Bolivia"
6.5,8.0,7.0,1.0,718.0,0.0,2.822,36.0,mww,15.0,"Mabua, Philippines"
7.85,9.0,7.0,1.0,987.0,0.0,3.625,9.0,mww,113.5,"Panguna, Papua New Guinea"
6.5,6.0,6.0,1.0,654.0,0.0,1.64,21.0,mww,36.0,"Kirakira, Solomon Islands"
7.3,6.0,3.0,1.0,849.0,0.0,3.813,18.0,mww,113.5,"Tabiauan, Philippines"
6.9,6.0,4.0,1.0,742.0,0.0,2.495,13.0,mww,12.0,"Nadi, Fiji"
7.6,9.0,8.0,1.0,1149.125,0.0,0.355,29.0,mww,38.0,"Quellón, Chile"
6.7,5.0,5.0,0.0,726.0,0.0,3.38,17.0,mww,113.5,"Lospalos, Timor Leste"
7.85,9.0,7.0,1.0,972.0,0.0,1.389,13.0,mww,94.54,"Kokopo, Papua New Guinea"
6.9,8.0,6.0,1.0,737.0,0.0,1.747,26.0,mww,19.73,"Kirakira, Solomon Islands"
